Fecha,Temperatura_C,Voltaje_V,Eficiencia_%,Alarma
2025-06-12,60.4,236.2,94.44,error: compile error
2025-06-10,78.3,207.0,77.95,error: compile error
2025-06-17,70.8,213.6,70.99,error: compile error
2025-06-05,65.1,218.3,74.0,error: compile error
2025-06-16,65.5,200.2,82.77,error: compile error
2025-06-08,65.3,207.1,87.8,error: compile error
2025-06-05,73.6,224.2,90.09,error: compile error
2025-06-02,76.8,214.0,75.03,error: compile error
2025-06-08,64.7,227.5,82.22,error: compile error
2025-06-02,61.1,223.6,94.54,error: compile error
2025-06-12,79.9,204.4,89.45,error: compile error
2025-06-09,60.5,209.2,72.0,error: compile error
2025-06-16,72.1,214.4,91.85,error: compile error
2025-06-16,72.1,201.0,71.07,error: compile error
2025-06-04,74.9,205.3,94.43,error: compile error
2025-06-10,60.9,224.0,90.59,error: compile error
2025-06-10,73.0,234.8,71.34,error: compile error
2025-06-02,76.1,217.2,73.11,error: compile error
2025-06-16,70.1,209.8,83.38,error: compile error
2025-06-15,63.5,229.4,81.55,error: compile error
2025-06-15,68.2,220.4,83.72,error: compile error
2025-06-15,75.5,205.3,70.07,error: compile error
2025-06-16,60.2,207.3,88.41,error: compile error
2025-06-06,79.3,230.4,72.86,error: compile error
2025-06-02,64.0,223.9,85.83,error: compile error
2025-06-12,67.6,225.3,76.91,error: compile error
2025-06-01,69.3,205.4,72.91,error: compile error
2025-06-09,77.1,211.2,70.5,error: compile error
2025-06-07,62.8,226.8,93.11,error: compile error
2025-06-04,63.1,216.2,71.94,error: compile error
2025-06-10,75.1,222.2,82.62,error: compile error
2025-06-02,61.4,235.4,72.86,error: compile error
2025-06-08,78.5,239.5,77.53,error: compile error
2025-06-17,71.8,230.3,72.93,error: compile error
2025-06-12,78.8,231.9,75.97,error: compile error
2025-06-06,79.5,235.8,70.16,error: compile error
2025-06-08,60.9,224.6,88.82,error: compile error
2025-06-05,73.0,215.8,91.66,error: compile error
2025-06-06,67.6,230.3,80.14,error: compile error
2025-06-11,64.4,208.0,90.53,error: compile error
2025-06-01,75.3,204.1,72.11,error: compile error
2025-06-06,64.3,231.8,86.24,error: compile error
2025-06-16,66.2,235.9,90.14,error: compile error
2025-06-10,77.4,232.7,94.36,error: compile error
2025-06-05,69.6,217.9,94.52,error: compile error
